;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
227;9173;Bad Tölz-Wolfratshausen;115;127917;0.485;0.021;620.9;64773.0;5.1
228;9174;Dachau;267;154899;0.519;0.018;592.2;70448.0;3.0
229;9175;Ebersberg;261;143649;0.515;0.018;586.4;77920.0;2.3
230;9176;Eichstätt;109;132881;0.53;0.013;623.4;77944.0;3.5
231;9177;Erding;159;138182;0.518;0.018;636.3;69012.0;3.1
232;9178;Freising;225;180007;0.548;0.02;598.3;78798.0;2.0
233;9179;Fürstenfeldbruck;504;219311;0.494;0.025;555.1;72266.0;1.7
234;9180;Garmisch-Partenkirchen;87;88424;0.45199999999999985;0.027;581.8;57079.0;15.8
235;9181;Landsberg am Lech;150;120302;0.4859999999999999;0.022;667.4;70958.0;4.0
236;9182;Miesbach;115;100010;0.46899999999999986;0.022;650.9;67137.0;4.6
237;9183;Mühldorf a.Inn;144;115872;0.499;0.03;632.0;69030.0;3.1
238;9184;München;528;350473;0.511;0.022;703.8;133330.0;3.9
239;9185;Neuburg-Schrobenhausen;132;97303;0.508;0.019;662.3;77335.0;4.7
240;9186;Pfaffenhofen a.d.Ilm;168;128227;0.518;0.016;646.0;101552.0;2.6
241;9187;Rosenheim;182;261330;0.481;0.022;645.0;68026.0;10.3
242;9188;Starnberg;280;136667;0.46599999999999997;0.024;633.2;89546.0;8.9
243;9189;Traunstein;116;177319;0.472;0.026;644.6;74197.0;5.3
244;9190;Weilheim-Schongau;140;135478;0.478;0.021;639.5;75452.0;3.2
245;9261;Landshut;1115;73411;0.5249999999999999;0.042;510.0;71769.0;18.0
246;9262;Passau;759;52803;0.5369999999999999;0.042;532.9;65240.0;14.1
247;9263;Straubing;707;47791;0.495;0.045;565.5;60786.0;9.5
248;9271;Deggendorf;139;119478;0.487;0.026;643.1;67171.0;11.1
249;9272;Freyung-Grafenau;80;78362;0.45199999999999996;0.025;660.6;60676.0;5.2
250;9273;Kelheim;116;123058;0.512;0.023;644.5;71133.0;3.3
251;9274;Landshut;119;159895;0.502;0.025;668.3;82608.0;1.2
252;9275;Passau;126;192656;0.46499999999999986;0.0279999999999999;652.6;64130.0;3.5
253;9276;Regen;79;77410;0.46099999999999985;0.031;632.1;60680.0;4.1
254;9277;Rottal-Inn;95;121502;0.479;0.03;673.0;66049.0;5.3
255;9278;Straubing-Bogen;84;101120;0.487;0.024;669.1;66912.0;3.9
